Id,País,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
105,Peru,0,0,0,0,0,0,0,0,0,24565,27065,0,26827,0,131559
106,Pitcairn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
107,Polônia,42779,115662,62416,110821,110209,138138,54435,46859,0,5399,16,160,18,0,888
108,Porto Rico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Portugal,309923,23547,1126,94194,41437,150685,90322,0,0,0,90741,42476,48991,9531,60053
110,Quênia,0,0,0,552,10,0,0,0,0,37996,0,0,0,3520,0
111,Reino Unido,98880,419314,408271,417793,364166,1679554,376789,653725,303594,364535,198887,105635,147710,156989,95873
112,República Dominicana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Rússia,27645194,0,0,6632144,20688985,252096,65904,0,0,0,0,10013,494857,184664,0
114,São Cristóvão e Névis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
115,São Tomé e Príncipe,0,0,0,0,0,0,0,0,0,4541,0,0,0,0,0
116,São Vicente e Granadinas,0,0,0,0,0,0,0,0,0,0,0,0,56,71,178
117,Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Serra Leoa,0,0,0,0,0,0,0,0,0,0,735,22290,19480,23283,61748
119,Singapura,0,0,0,0,0,0,0,0,0,0,0,0,18850,19756,23722
120,Suazilândia,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
121,Suécia,81160,0,16117,19985,23378,61461,7816,1505,80398,42625,789,30,97,23,0
122,Suíça,108972,23625,0,51254,32782,259695,101662,37570,81341,0,30726,30757,7626,22447,31263
123,Suriname,16748,3105,7509,1684,4760,25,1166,2275,9328,0,7947,9462,2372,4585,8340
124,Tailândia,0,0,0,0,0,0,0,0,0,53,960,2287,3863,2145,1576
125,Taiwan (Formosa),0,0,15100,0,0,80426,31140,97346,58942,26010,79,5636,9466,302,24206
126,Tanzânia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,"Tcheca, República",53171,6376,44117,35749,27246,39505,17601,32310,19693,23692,18506,5368,6444,11302,3753
128,Togo,0,0,0,0,0,0,0,0,0,0,0,0,3902,42925,39785
129,Toquelau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
130,Trinidade Tobago,0,0,0,3251,0,1960,0,0,0,0,0,0,0,0,0
131,Tunísia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,Turquia,0,0,0,0,0,0,0,0,0,510,324,0,1221,921,123525
133,Tuvalu,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
134,Uruguai,0,3843,5642,5014,14869,0,0,0,0,37328,24677,0,286616,1634484,780364
135,Vanuatu,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0
136,Venezuela,0,0,0,8521,0,246,0,0,3326,426,0,13894,62359,55571,361542
137,Vietnã,2886,18797,0,0,0,0,0,0,0,0,52,670,0,407,200
